state,constituency,candidate_name,party,num_votes,total_votes,perc_votes,rank,won
Andhra Pradesh,PAYAKARAOPETA,NOTA,None of the Above,5189,195725,0.0265,4,0
Andhra Pradesh,PAYAKARAOPETA,KAKARA NOOKA RAJU,Bharatiya Janata Party,3031,195725,0.0155,5,0
Andhra Pradesh,PAYAKARAOPETA,TALLURI VIJAY KUMAR,Indian National Congress,2395,195725,0.0122,6,0
Andhra Pradesh,PAYAKARAOPETA,VADLAMURI KRISHNA SWAROOP,Dalita Bahujana Party,1234,195725,0.0063,7,0
Andhra Pradesh,PAYAKARAOPETA,SURIBABU JAKKALA,Independent,635,195725,0.0032,8,0
Andhra Pradesh,PAYAKARAOPETA,TALUPULU CHEVVETI,Independent,523,195725,0.0027,9,0
Andhra Pradesh,PAYAKARAOPETA,MORTHA SIMHACHALAM,Jana Jagruti Party,496,195725,0.0025,10,0
Andhra Pradesh,Narsipatnam,UMA SANKARA GANESH PETLA,Yuvajana Sramika Rythu Congress Party,93818,174330,0.5382,1,1
Andhra Pradesh,Narsipatnam,AYYANNA PATRUDU CHINTAKAYALA,Telugu Desam,70452,174330,0.4041,2,0
Andhra Pradesh,Narsipatnam,NOTA,None of the Above,5765,174330,0.0331,3,0
Andhra Pradesh,Narsipatnam,GADE SRINIVASARAO,Bharatiya Janata Party,1427,174330,0.0082,4,0
Andhra Pradesh,Narsipatnam,MEESALA SUBBANNA,Indian National Congress,897,174330,0.0051,5,0
Andhra Pradesh,Narsipatnam,R. V. SURYA CHANDRA,Independent,796,174330,0.0046,6,0
Andhra Pradesh,Narsipatnam,TAVVA CHIRANJEEVI RAO,Independent,451,174330,0.0026,7,0
Andhra Pradesh,Narsipatnam,BAYYAPUREDDY SURESH,Jana Jagruti Party,414,174330,0.0024,8,0
Andhra Pradesh,Narsipatnam,APPALANAIDU ALLU,Independent,310,174330,0.0018,9,0
Andhra Pradesh,Tuni,DADISETTI RAJA,Yuvajana Sramika Rythu Congress Party,92459,177375,0.5213,1,1
Andhra Pradesh,Tuni,YANAMALA KRISHNUDU,Telugu Desam,68443,177375,0.3859,2,0
Andhra Pradesh,Tuni,VENKATA KRISHNAMRAJU SRI RAJA VATSAVAYI (ASHOKBABU),Janasena Party,6413,177375,0.0362,3,0
Andhra Pradesh,Tuni,ESWARARAO VELAGA,Bharatiya Janata Party,2905,177375,0.0164,4,0
Andhra Pradesh,Tuni,NOTA,None of the Above,2586,177375,0.0146,5,0
Andhra Pradesh,Tuni,DOCTOR PANDURANGARAO,Indian National Congress,1948,177375,0.011,6,0
Andhra Pradesh,Tuni,APPANNA GEDDAM,Mundadugu Praja Party,433,177375,0.0024,7,0
Andhra Pradesh,Tuni,KUTTUMU JANARDHAN,Communist Party of India  (Marxist-Leninist)  (Liberation),368,177375,0.0021,8,0
Andhra Pradesh,Tuni,SAKA RADHAKRISHNA,Dalita Bahujana Party,331,177375,0.0019,9,0
Andhra Pradesh,Tuni,YADALA RAMAKRISHNA,Independent,312,177375,0.0018,10,0
Andhra Pradesh,Tuni,UDAYA BHASKARARAO MADIKI,Praja Shanthi Party,272,177375,0.0015,11,0
Andhra Pradesh,Tuni,MUNASA SATHIBABU,India Praja Bandhu Party,247,177375,0.0014,12,0
Andhra Pradesh,Tuni,ANKAREDDI RAJASESHU,Independent,203,177375,0.0011,13,0
Andhra Pradesh,Tuni,KRISHNAVENI BURA,Republican Party of India (Khobragade),162,177375,0.0009,14,0
Andhra Pradesh,Tuni,TAMARANA APPARAO,Jana Jagruti Party,153,177375,0.0009,15,0
Andhra Pradesh,Tuni,ASAPU VENKATA NAGA SURYA SATYA PRASAD,Pyramid Party of India,140,177375,0.0008,16,0
Andhra Pradesh,Prathipadu,Sri Purnachandra Prasad Parvatha,Yuvajana Sramika Rythu Congress Party,77103,164915,0.4675,1,1
Andhra Pradesh,Prathipadu,Varupula Raja,Telugu Desam,72492,164915,0.4396,2,0
Andhra Pradesh,Prathipadu,Varupula Tammayyababu,Janasena Party,6958,164915,0.0422,3,0
Andhra Pradesh,Prathipadu,Ummidi Venkatrao,Indian National Congress,3363,164915,0.0204,4,0
Andhra Pradesh,Prathipadu,NOTA,None of the Above,2079,164915,0.0126,5,0
Andhra Pradesh,Prathipadu,Chilukuri Ram Kumar,Bharatiya Janata Party,1207,164915,0.0073,6,0
Andhra Pradesh,Prathipadu,Manukonda Latchababu,Communist Party of India  (Marxist-Leninist)  (Liberation),570,164915,0.0035,7,0
Andhra Pradesh,Prathipadu,Dadisetty Veerababu,Mundadugu Praja Party,532,164915,0.0032,8,0
Andhra Pradesh,Prathipadu,B. V. V. Satyanarayana Gorla,Independent,337,164915,0.002,9,0
Andhra Pradesh,Prathipadu,Parvatha Prasad,Praja Shanthi Party,274,164915,0.0017,10,0
Andhra Pradesh,Pithapuram,Dorababu Pendem,Yuvajana Sramika Rythu Congress Party,83459,186682,0.4471,1,1
Andhra Pradesh,Pithapuram,S.V.S.N. VARMA,Telugu Desam,68467,186682,0.3668,2,0
Andhra Pradesh,Pithapuram,Makineedi Seshu Kumari,Janasena Party,28011,186682,0.15,3,0
Andhra Pradesh,Pithapuram,NOTA,None of the Above,2339,186682,0.0125,4,0
Andhra Pradesh,Pithapuram,Medidi Venkata Srinivasa Rao,Indian National Congress,1139,186682,0.0061,5,0
Andhra Pradesh,Pithapuram,Billakurthi Rameswara Reddy,Bharatiya Janata Party,1034,186682,0.0055,6,0
Andhra Pradesh,Pithapuram,Venkatadri @ Surathu Venkatadri (Barateeyudu),Independent,886,186682,0.0047,7,0
Andhra Pradesh,Pithapuram,Pilla Chandram,Communist Party of India  (Marxist-Leninist)  (Liberation),555,186682,0.003,8,0
Andhra Pradesh,Pithapuram,Raparthi Venkata Ramana,Jana Jagruti Party,329,186682,0.0018,9,0
Andhra Pradesh,Pithapuram,Madduri Veerababu,Pyramid Party of India,257,186682,0.0014,10,0
Andhra Pradesh,Pithapuram,Eeti Jagadeesh,Independent,206,186682,0.0011,11,0
Andhra Pradesh,Kakinada Rural,Kurasala Kannababu,Yuvajana Sramika Rythu Congress Party,74068,184507,0.4014,1,1
Andhra Pradesh,Kakinada Rural,Ananthlakshmi Pilli,Telugu Desam,65279,184507,0.3538,2,0
Andhra Pradesh,Kakinada Rural,Pantam Venkateswara Rao (Nanaji),Janasena Party,39247,184507,0.2127,3,0
Andhra Pradesh,Kakinada Rural,Nurukurthi Venkateswara Rao,Indian National Congress,1591,184507,0.0086,4,0
Andhra Pradesh,Kakinada Rural,NOTA,None of the Above,1575,184507,0.0085,5,0
Andhra Pradesh,Kakinada Rural,Kavikondala Bhima Sekhar,Bharatiya Janata Party,1183,184507,0.0064,6,0
Andhra Pradesh,Kakinada Rural,Muralasetty Sunil Kumar,Independent,265,184507,0.0014,7,0
Andhra Pradesh,Kakinada Rural,Jaggarapu Mallikharjuna,Independent,188,184507,0.001,8,0
Andhra Pradesh,Kakinada Rural,Bonda Vekata Ramana,Pyramid Party of India,158,184507,0.0009,9,0
Andhra Pradesh,Kakinada Rural,Sirangu Bhudevi,Praja Shanthi Party,164,184507,0.0009,10,0
Andhra Pradesh,Kakinada Rural,Muduki Peddiraju,Independent,160,184507,0.0009,11,0
Andhra Pradesh,Kakinada Rural,Yenugupalli Krishna,Independent,156,184507,0.0008,12,0
Andhra Pradesh,Kakinada Rural,Konki Raviteja,Jana Jagruti Party,127,184507,0.0007,13,0
Andhra Pradesh,Kakinada Rural,Marella Satyanarayana,Independent,127,184507,0.0007,14,0
Andhra Pradesh,Kakinada Rural,CHAGANTI SURYANARYANA MURTY,Independent,117,184507,0.0006,15,0
Andhra Pradesh,Kakinada Rural,Peyyala Durga Prasad,Independent,102,184507,0.0006,16,0
Andhra Pradesh,Peddapuram,Nimmakayala China Rajappa,Telugu Desam,67393,162928,0.4136,1,1
